"","ID","Date","Price","Location"
"148","562327","3/20/2009","157000","Section: 26 Township: 36 Range: 16"
"149","562476","3/26/2009","60000","Quarter: NW/4 Section: 11 Township: 38 Range: 18"
"150","562514","3/27/2009","96000","Section: 11 Township: 36 Range: 16"
"151","562536","3/30/2009","68500","Quarter: NE/4 Section: 28 Township: 36 Range: 14 Subdiv..."
"152","562667","4/1/2009","320000","Quarter: NW/4 Section: 28 Township: 37 Range: 14 Subdiv..."
"153","562669","3/19/2009","141500","Section: 33 Township: 36 Range: 13"
"154","562762","4/6/2009","200000","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"155","562774","4/9/2009","109000","Section: 5 Township: 35 Range: 13"
"156","562921","4/15/2009","217500","Section: 8 Township: 36 Range: 16"
"157","562972","4/17/2009","149900","Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv..."
"158","563241","4/29/2009","170000","Section: 28 Township: 36 Range: 13"
"159","563380","5/4/2009","250000","Quarter: NW/4 Section: 31 Township: 37 Range: 15 Subdiv..."
"160","563429","5/7/2009","75000","Quarter: SW/4 Section: 36 Township: 39 Range: 14"
"161","563480","5/8/2009","30000","Section: 6 Township: 38 Range: 17"
"162","563594","5/13/2009","45000","Section: 26 Township: 36 Range: 16"
"163","563729","5/18/2009","65000","0 Subdivision: SCHWARZKOPF ACRES 5 LOT MODERATE Lot: A"
"164","563796","5/21/2009","78000","Section: 8 Township: 37 Range: 16 Subdivision: DAKOTAS ..."
"165","563863","5/22/2009","165500","Quarter: NW Section: 4 Township: 35 Range: 16 Subdivisi..."
"166","563865","5/23/2009","55000","Quarter: NW/4 Section: 13 Township: 36 Range: 17"
"167","563925","5/22/2009","295000","Quarter: SE/4 Section: 17 Township: 38 Range: 17"
"168","563925","5/22/2009","295000","Quarter: SE/4 Section: 17 Township: 38 Range: 17"
"169","563925","5/22/2009","295000","Quarter: SE/4 Section: 17 Township: 38 Range: 17"
"170","563925","5/22/2009","295000","Quarter: SE/4 Section: 17 Township: 38 Range: 17"
"171","564050","6/1/2009","299800","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"172","564153","6/4/2009","111000","Quarter: NE/4 Section: 20 Township: 37 Range: 15 Subdiv..."
"173","564571","6/23/2009","56500","Quarter: NW/4 Section: 28 Township: 36 Range: 13 Subdiv..."
"174","564611","6/26/2009","96000","Quarter: NW/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"175","564616","6/26/2009","72000","Quarter: NE/4 Section: 15 Township: 36 Range: 16 Subdiv..."
"176","564826","7/1/2009","69900","Quarter: NE/4 Section: 24 Township: 36 Range: 16 Subdiv..."
"177","564843","6/30/2009","250000","Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE..."
"178","564888","7/6/2009","121500","Section: 9 Township: 36 Range: 15 Subdivision: HIGHLINE..."
"179","564986","7/10/2009","250000","Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V..."
"180","565083","7/14/2009","350000","Quarter: NE/4 Section: 27 Township: 39 Range: 18"
"181","565165","7/16/2009","147500","Quarter: SW/4 Section: 19 Township: 36 Range: 15"
"182","565166","7/17/2009","300000","Quarter: NW/4 Section: 13 Township: 36 Range: 13"
"183","565223","7/17/2009","430000","Quarter: NW/4 Section: 27 Township: 36 Range: 14 Subdiv..."
"184","565323","7/23/2009","162400","Quarter: NW/4 Section: 30 Township: 36 Range: 15"
"185","565477","7/29/2009","80000","Quarter: SE/4 Section: 15 Township: 36 Range: 16"
"186","565484","7/30/2009","260000","Section: 1 Township: 34 Range: 17"
"187","565488","7/30/2009","200000","Quarter: SE/4 Section: 34 Township: 37 Range: 14"
"188","565489","7/30/2009","245000","Quarter: NE/4 Section: 26 Township: 36 Range: 16 Subdiv..."
"189","565511","7/31/2009","162400","Section: 26 Township: 36 Range: 16"
"190","565836","8/11/2009","175000","Section: 1 Township: 36 Range: 14 Subdivision: SHILO Lo..."
