ID,Date,Price,Location
560027,11/14/2008,"$254,900.00 ",Quarter: NW/4 Section: 24 Township: 37 Range: 17 Subdiv...
560213,11/25/2008,"$75,000.00 ",Section: 6 Township: 36 Range: 16
560290,11/26/2008,"$280,000.00 ",Section: 9 Township: 36 Range: 16 Subdivision: TULAROSA...
560338,12/1/2008,"$375,000.00 ",Section: 2 Township: 36 Range: 16 Subdivision: MILDRED ...
560387,12/3/2008,"$157,200.00 ",Quarter: NW/4 Section: 35 Township: 36 Range: 16 Subdiv...
560432,12/5/2008,"$150,000.00 ",Section: 8 Township: 37 Range: 16 Subdivision: CAROL EV...
560464,11/4/2008,"$90,000.00 ",Sixteenth: NE/4 Quarter: NE/4 Section: 16 Township: 37 R...
560517,12/12/2008,"$65,700.00 ",Section: 2 Township: 36 Range: 16 Subdivision: LEBANON ...
560579,12/16/2008,"$129,000.00 ",Quarter: NE/4 Section: 34 Township: 36 Range: 16 TR 100...
560600,12/18/2008,"$70,000.00 ",Quarter: NW/4 Section: 25 Township: 37 Range: 15
560602,12/19/2008,"$210,000.00 ",Quarter: NE/4 Section: 28 Township: 36 Range: 13
560627,12/19/2008,"$335,000.00 ",Section: 6 Township: 36 Range: 15
560779,12/30/2008,"$264,000.00 ",Quarter: SE/4 Section: 30 Township: 36 Range: 16 Subdiv...
560830,12/18/2008,"$40,800.00 ",Section: 1 Township: 36 Range: 15
560909,12/4/2008,"$210,000.00 ",Quarter: NE/4 Section: 17 Township: 36 Range: 16
561024,1/14/2009,"$192,000.00 ",Quarter: SE/4 Section: 34 Township: 36 Range: 16
561061,1/15/2009,"$277,500.00 ",Section: 1 Township: 36 Range: 16 Subdivision: SCHWARZK...
561141,1/16/2009,"$140,000.00 ",Quarter: NE/4 Section: 28 Township: 36 Range: 13
561191,1/22/2009,"$200,000.00 ",Section: 19 Township: 37 Range: 15
561322,2/2/2009,"$375,000.00 ",Quarter: SW/4 Section: 24 Township: 36 Range: 14
561507,9/2/2008,"$56,000.00 ",Section: 3 Township: 36 Range: 15
561537,2/9/2009,"$343,500.00 ",Quarter: SE/4 Section: 33 Township: 36 Range: 17
561578,11/13/2008,"$300,000.00 ",Quarter: SW/4 Section: 31 Township: 37 Range: 16 Subdiv...
561657,2/13/2009,"$80,000.00 ",Section: 16 Township: 37 Range: 15
561709,2/17/2009,"$125,200.00 ",Section: 5 Township: 35 Range: 16 Subdivision: VALLEY V...
561735,2/19/2009,"$258,000.00 ",Quarter: NE/4 Section: 29 Township: 36 Range: 14 Subdiv...
561832,2/23/2009,"$142,500.00 ",Quarter: NW/4 Section: 30 Township: 35 Range: 16 Subdiv...
