"","SiteID","symbol","N","mean","sd","se"
"266","GUSG_DENSE","ERPU9",12,0,0,0
"267","GUSG_DENSE","GUSA2",12,1.27777777777778,2.62787440828589,0.758601998510193
"268","GUSG_DENSE","HECO26",12,0.5,1.36699922044121,0.39461868395187
"269","GUSG_DENSE","HL",12,49.7222222222222,15.8591230688139,4.57813448644555
"270","GUSG_DENSE","HYFI",12,0,0,0
"271","GUSG_DENSE","IPPU4",12,0,0,0
"272","GUSG_DENSE","IPRO",12,0,0,0
"273","GUSG_DENSE","JUOS",12,0,0,0
"274","GUSG_DENSE","KRLA2",12,3.61111111111111,5.66726081258355,1.63599727785646
"275","GUSG_DENSE","LAOC3",12,0,0,0
"276","GUSG_DENSE","LARE",12,0.388888888888889,0.826741606248098,0.238659744458801
"277","GUSG_DENSE","LEMO2",12,0,0,0
"278","GUSG_DENSE","LEMO3",12,0,0,0
"279","GUSG_DENSE","LESA4",12,0,0,0
"280","GUSG_DENSE","MAPI",12,0,0,0
"281","GUSG_DENSE","MAVU",12,0,0,0
"282","GUSG_DENSE","None",12,32.0555555555556,16.216859498267,4.68140409836739
"283","GUSG_DENSE","OECA10",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"284","GUSG_DENSE","OPPO",12,0.222222222222222,0.434225964852619,0.125350238848392
"285","GUSG_DENSE","ORFA",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"286","GUSG_DENSE","PAMU11",12,0,0,0
"287","GUSG_DENSE","PASM",12,0.777777777777778,2.49173718693489,0.719302567813331
"288","GUSG_DENSE","PEBR9",12,0,0,0
"289","GUSG_DENSE","PEPU7",12,0,0,0
"290","GUSG_DENSE","PHAU3",12,0,0,0
"291","GUSG_DENSE","PHHOC",12,0,0,0
"292","GUSG_DENSE","PHLO2",12,0.277777777777778,0.600224424919013,0.17326986665059
"293","GUSG_DENSE","PHRE9",12,0.166666666666666,0.414387707005373,0.119623427094212
"294","GUSG_DENSE","PIDE4",12,0,0,0
"295","GUSG_DENSE","PIED",12,0,0,0
"296","GUSG_DENSE","PLJA",12,0.388888888888889,0.919302912601633,0.26537989202868
"297","GUSG_DENSE","PLPA2",12,0.888888888888889,2.67171239807864,0.771256936113983
"298","GUSG_DENSE","POFE",12,0,0,0
"299","GUSG_DENSE","S",12,0,0,0
"300","GUSG_DENSE","SATR12",12,0,0,0
"301","GUSG_DENSE","SAUU3",12,0,0,0
"302","GUSG_DENSE","SAVE4",12,0.388888888888889,1.34715062810913,0.388888888888889
"303","GUSG_DENSE","SCLI",12,0.222222222222223,0.769800358919502,0.222222222222223
"304","GUSG_DENSE","SPCO",12,2.5,2.65337597042033,0.765963665391732
"305","GUSG_DENSE","SPCR",12,0,0,0
"306","GUSG_DENSE","THAU3",12,0.555555555555556,1.92450089729875,0.555555555555556
"307","GUSG_DENSE","TOAN",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"308","GUSG_DENSE","TRDU",12,0,0,0
"309","GUSG_DENSE","UNKM",12,0,0,0
"310","GUSG_DENSE","UNKSEEDLING",12,0.0555555555555556,0.192450089729875,0.0555555555555556
"311","GUSG_DENSE","VUOC",12,1,3.06824728699326,0.885726698542947
