Transect ID,Location,Sage1 Difference,Sage2 Difference,Shrub Difference,PJ Difference,Sage1ToFromTotal,Sage1Cover%
255,DRY WILD 2 FY11F,7.133329709,,0.066668193,3.199996948,2.139998913,7.133329709
256,DRY WILD 2 FY11F,16.16667032,2.666662534,,0.333334605,4.850001097,16.16667032
257,DRY WILD 2 FY11F,7.033330401,,1.100002925,,2.10999912,7.033330401
258,DRY WILD 2 FY11F,4.066663583,,,39.89999771,1.219999075,4.066663583
259,DRY WILD 2 FY11F,1.966671546,,,9.000001748,0.590001464,1.966671546
260,DRY WILD 2 FY11F,5.633332332,,,12.13333726,1.6899997,5.633332332
261,SIX SHOOTER FY 12,7.233334382,,7.69999822,,2.170000315,7.233334382
263,SIX SHOOTER FY 12,,12.60000408,3.033343355,,,
264,SIX SHOOTER FY 12,17.56666402,,,,5.269999206,17.56666402
265,SIX SHOOTER FY 12,,11.73333893,2.000013987,,,
266,SIX SHOOTER FY 12,,13.89999181,,,,
267,SIX SHOOTER FY 12,6.999998093,2.099998792,1.63333257,,2.099999428,6.999998093
268,SIX SHOOTER FY 12,6.900000572,,22.09999382,,2.070000172,6.900000572
269,SIX SHOOTER FY 12,8.733340104,,,,2.620002031,8.733340104
270,SIX SHOOTER FY 12,3.800004323,8.699998856,0.49999555,,1.140001297,3.800004323
271,SIX SHOOTER FY 12,6.166674296,6.066666842,8.166657289,,1.850002289,6.166674296
272,SIX SHOOTER FY 12,2.299999396,3.899997075,11.13333642,,0.689999819,2.299999396
273,SIX SHOOTER FY 12,4.599990845,,,,1.379997253,4.599990845
274,SIX SHOOTER FY 12,13.23332568,,0.066667398,,3.969997704,13.23332568
275,SIX SHOOTER FY 12,4.566660921,,0.566666921,,1.369998276,4.566660921
276,SIX SHOOTER FY 12,11.16665502,,2.833321889,,3.349996507,11.16665502
277,SIX SHOOTER FY 12,8.333339691,,6.666676203,,2.500001907,8.333339691
278,SIX SHOOTER FY 12,9.033333957,,5.366662343,,2.710000187,9.033333957
279,SIX SHOOTER FY 12,9.333335161,,4.266667366,,2.800000548,9.333335161
280,SIX SHOOTER FY 12,1.200007399,,,,0.36000222,1.200007399
281,SIX SHOOTER FY 12,10.4000025,,0.399999619,,3.12000075,10.4000025
282,SIX SHOOTER FY 12,2.600002289,,,,0.780000687,2.600002289
283,SIX SHOOTER FY 12,2.066672643,,,,0.620001793,2.066672643
284,SIX SHOOTER FY 12,,,0.799999237,,,
285,SIX SHOOTER FY 12,15.20001252,,1.899998983,,4.560003757,15.20001252
286,SIX SHOOTER FY 12,0.533332825,,,,0.159999847,0.533332825
287,SIX SHOOTER FY 12,7.600002289,,,,2.280000687,7.600002289
288,SIX SHOOTER FY 12,1.866668065,,,,0.56000042,1.866668065
289,SIX SHOOTER FY 12,1.266668638,,,,0.380000591,1.266668638
290,SIX SHOOTER FY 12,2.299998601,,0.466666619,,0.68999958,2.299998601
291,SIX SHOOTER FY 12,17.8666689,,1.63333257,,5.36000067,17.8666689
292,Monogram Mesa FY13,17.93333948,,,,5.380001843,17.93333948
293,Monogram Mesa FY13,8.83333683,,,,2.650001049,8.83333683
294,Monogram Mesa FY13,15.90000828,,0.199999809,,4.770002484,15.90000828
295,Monogram Mesa FY13,22.4000001,,,,6.720000029,22.4000001
296,Monogram Mesa FY13,11.66667541,,,,3.500002623,11.66667541
297,Monogram Mesa FY13,1.166664759,,0.266666412,,0.349999428,1.166664759
298,Monogram Mesa FY13,5.833331744,,4.299995104,,1.749999523,5.833331744
299,Monogram Mesa FY13,6.966673533,,1.266667048,,2.09000206,6.966673533
300,Monogram Mesa FY13,21.7666626,,11.36665742,,6.529998779,21.7666626
301,Monogram Mesa FY13,0.633335114,,5.199999635,,0.190000534,0.633335114
302,Monogram Mesa FY13,14.50000604,,3.033329646,,4.350001812,14.50000604
303,Improved Pasture FY13,27.26667722,,1.566670736,,8.180003166,27.26667722
304,Improved Pasture FY13,3.499997457,,1.366670926,,1.049999237,3.499997457
305,Improved Pasture FY13,19.63333194,,,,5.889999583,19.63333194
306,Improved Pasture FY13,17.33333111,,,,5.199999332,17.33333111
307,Improved Pasture FY13,12.23333041,,0.266666412,,3.669999123,12.23333041
310,Improved Pasture FY13,5.033334096,,1.066666842,,1.510000229,5.033334096
311,Improved Pasture FY13,12.46666431,,,,3.739999294,12.46666431
312,West Highway FY13,10.3666695,,,,3.110000849,10.3666695
314,West Highway FY13,15.66667716,,0.133336385,,4.700003147,15.66667716
315,West Highway FY13,,,7.066671054,,,
316,West Highway FY13,,,21.46667009,,,
317,West Highway FY13,6.333332856,,,,1.899999857,6.333332856
318,West Highway FY13,17.66664773,,,,5.29999432,17.66664773
319,West Highway FY13,,,28.80000114,,,
320,West Highway FY13,,,31.26665473,,,
321,West highway FY13,0.533332825,,23.7333407,,0.159999847,0.533332825
322,West Highway FY13,8.066662153,7.566661835,0.93334198,,2.419998646,8.066662153
323,Dry Wild FY13,0.566665332,,1.366665761,,0.169999599,0.566665332
324,Dry Wild FY13,0.066666603,,4.566666683,,0.019999981,0.066666603
325,Dry Wild FY13,8.699988524,,0.166670481,,2.609996557,8.699988524
326,Dry Wild FY13,16.76665684,,4.466660519,,5.029997051,16.76665684
327,Dry Wild FY13,0.19999822,,1.766667366,,0.059999466,0.19999822
328,Dry Wild FY13,,,3.766667048,,,
329,Dry Wild FY13,0.733331045,,1.833328009,,0.219999313,0.733331045
330,Dry Wild FY13,1.366669337,,0.333331426,,0.410000801,1.366669337
331,Dry Wild FY13,5.800005595,,5.033327341,,1.740001678,5.800005595
332,Dry Wild FY13,0.86666743,,5.000008593,,0.260000229,0.86666743
333,Dry Wild FY13,,,4.399994214,,,
334,Dry Wild FY13,5.366663138,,2.333335876,0.333331426,1.609998941,5.366663138
335,Dry Wild FY13,5.299997826,,0.833333532,,1.589999348,5.299997826
336,Dry Wild FY13,2.700002193,,1.233331362,,0.810000658,2.700002193
337,Dry Wild FY13,3.700000445,2.666683197,0.466661453,,1.110000134,3.700000445
338,Dry Wild FY13,12.46666312,,,,3.739998937,12.46666312
339,Dry Wild FY13,5.800004005,,4.499983788,,1.740001202,5.800004005
340,Dry Wild FY13,7.93334047,,1.233336131,,2.380002141,7.93334047
341,Dry Wild FY13,7.599999905,,0.366665522,,2.279999971,7.599999905
342,Six Shooter FY13,8.56667916,,,,2.570003748,8.56667916
343,Six Shooter FY13,20.10001024,,,,6.030003071,20.10001024
344,Six Shooter FY13,3.500005404,,,,1.050001621,3.500005404
345,Six Shooter FY13,8.066663345,,,,2.419999003,8.066663345
346,Six Shooter FY13,3.700000445,2.666683197,0.466661453,,1.110000134,3.700000445
347,Six Shooter FY13,3.366657098,,0.733331045,,1.009997129,3.366657098
348,Six Shooter FY13,4.333334366,,0.19999822,,1.30000031,4.333334366
349,Six Shooter FY13,0.700000127,,1.43333753,,0.210000038,0.700000127
350,Six Shooter FY13,7.866665522,,,,2.359999657,7.866665522
351,Six Shooter FY13,3.900000254,12.9666696,11.20000879,,1.170000076,3.900000254
